n,x
0.0,0.5
1.0,0.975
2.0,0.09506250000000008
3.0,0.33549992226562525
4.0,0.8694649252590003
5.0,0.44263310911310905
6.0,0.962165255336889
7.0,0.1419727793616139
8.0,0.4750843861996143
9.0,0.9725789275369049
10.0,0.1040097132674683
11.0,0.36344760197260056
12.0,0.90227842611257
13.0,0.34387106474913476
14.0,0.8799326467519814
15.0,0.4120396173349332
16.0,0.9448255872175185
17.0,0.20330776813070028
18.0,0.6316975062388134
19.0,0.907357490716863
20.0,0.3278335115517574
21.0,0.8593989309960643
22.0,0.4712463927556561
23.0,0.9717755972747083
24.0,0.10696836468275975
25.0,0.3725519211954379
26.0,0.9116522501152019
27.0,0.3141154574028559
28.0,0.8402430536114569
29.0,0.5235151914296899
30.0,0.9728434395108977
31.0,0.10303441867486574
32.0,0.360431476248473
33.0,0.8990304459934958
34.0,0.35402134236390415
35.0,0.8918919029075777
36.0,0.376040872098363
37.0,0.9150731249784758
38.0,0.3030857735903501
39.0,0.8237766710062077
40.0,0.566157802517338
41.0,0.9579302661476999
42.0,0.15716949824899712
43.0,0.516622263569707
44.0,0.9739224313798948
45.0,0.09905036323637888
46.0,0.3480336162385691
47.0,0.8849342510052466
48.0,0.3971199273718163
49.0,0.9337211935584767
50.0,0.24135511240702046
51.0,0.7141010062758585
52.0,0.7962269605354927
53.0,0.6327733926224242
54.0,0.9062477822249732
55.0,0.33135468380543404
56.0,0.8640791535699761
57.0,0.458040842749502
58.0,0.9681337735790292
59.0,0.1203180031351671
60.0,0.4127821669012588
61.0,0.9453328933992844
62.0,0.20154659482082424
63.0,0.6276097032541235
64.0,0.9114914781780388
65.0,0.3146315772087253
66.0,0.8409903365443133
67.0,0.5215298024952442
68.0,0.9731922236576114
69.0,0.10174756593286385
70.0,0.3564404951624454
71.0,0.8946236074261049
72.0,0.367661613001829
73.0,0.906697550174217
74.0,0.3299287004609318
75.0,0.8621954369850608
76.0,0.4633764151660832
77.0,0.9697689808322603
78.0,0.114336708126496
79.0,0.3949289186750406
80.0,0.9319442646898946
81.0,0.24735419358587463
82.0,0.7260633763552895
83.0,0.7756918644963023
84.0,0.6785765838171546
85.0,0.8506305744775596
86.0,0.4955269809419923
87.0,0.974921969191976
88.0,0.09535158039738144
89.0,0.33641266040110224
90.0,0.8706328110595242
91.0,0.4392621455278487
92.0,0.960612560833067
93.0,0.14756066833093617
94.0,0.49056741822138816
95.0,0.9746530029638603
96.0,0.09634765443181968
97.0,0.33955265727749473
98.0,0.874600935831819
99.0,0.4277291416083092
100.0,0.9546299998065798
101.0,0.16891509677589003
102.0,0.5474928687426188
103.0,0.9662032669325259
104.0,0.12735260421561603
105.0,0.43342228181895515
106.0,0.9577128890230409
107.0,0.15794575376650777
108.0,0.5186956812711861
109.0,0.9736368388570442
110.0,0.10010576502227468
111.0,0.35132994324316125
112.0,0.8887991354732815
113.0,0.3854574057953927
114.0,0.9238319770402267
115.0,0.27442917542887374
116.0,0.7765594320989785
117.0,0.676708034016653
118.0,0.8532196557844807
119.0,0.4884199115932226
120.0,0.9744770160547157
121.0,0.09699908881967091
122.0,0.3416020357925156
123.0,0.8771493312462054
124.0,0.42025768956810605
125.0,0.9502005393152354
126.0,0.1845459501610576
127.0,0.5869060955168192
128.0,0.9455445891918839
129.0,0.20081107426315814
130.0,0.6258953481940946
131.0,0.9131864090820419
132.0,0.3091802662645615
133.0,0.8329925339468318
134.0,0.5425522921091054
135.0,0.9679382795014193
136.0,0.12103168965128117
137.0,0.41489377703060476
138.0,0.946752030166346
139.0,0.19660923181476822
140.0,0.6160207629419023
141.0,0.9225028120088777
142.0,0.2788163579939046
143.0,0.7842034063847857
144.0,0.6599908528172089
145.0,0.8751714153578065
146.0,0.42606099548383886
147.0,0.9536787920835206
148.0,0.17228465909318705
149.0,0.5561503558038924
150.0,0.9627038364180756
151.0,0.14003012307957963
152.0,0.4696445820685999
153.0,0.971406339548619
154.0,0.10832664583015134
155.0,0.37670873617002715
156.0,0.9157171306265112
157.0,0.30099914248427495
158.0,0.8205547689612238
159.0,0.574254096375244
160.0,0.9534966837688342
161.0,0.17292895546161285
162.0,0.5577956741158165
163.0,0.9619726742086435
164.0,0.1426668683096066
165.0,0.4770208286857102
166.0,0.9729406349742631
167.0,0.10267590758154928
168.0,0.35932090577703224
169.0,0.897816630549561
170.0,0.3577935209869571
171.0,0.8961315375741805
172.0,0.36301123926255086
173.0,0.9018129097833097
174.0,0.34533090357273216
175.0,0.881702135380453
176.0,0.40678357139940924
177.0,0.9411117200119088
178.0,0.216139756825728
179.0,0.6607511131456684
180.0,0.8742204105274712
181.0,0.4288404289441385
182.0,0.9552516302438685
183.0,0.16670921732517013
184.0,0.5417772913175973
185.0,0.9681931659276418
186.0,0.12010112157674145
187.0,0.41213968447372584
188.0,0.9448942033269317
189.0,0.20306967659976938
190.0,0.6311462938771943
191.0,0.9079225334488786
192.0,0.3260369061481291
193.0,0.8569736837121922
194.0,0.4780221776340963
195.0,0.9731162037638059
196.0,0.10202812517088701
197.0,0.3573117086955032
198.0,0.895596200945952
199.0,0.3646642186088067
200.0,0.9035684824734169
201.0,0.33981667182100317
202.0,0.8749310753566493
203.0,0.42676408605443567
204.0,0.9540823535433757
205.0,0.17085594318198424
206.0,0.5524903404593774
207.0,0.9642545802179886
208.0,0.13442397051181482
209.0,0.45378124998824887
210.0,0.9666689258746698
211.0,0.1256584431296296
212.0,0.4284867553194822
213.0,0.9550548377575312
214.0,0.16740786907052113
215.0,0.5435916503307746
216.0,0.9675890952836138
217.0,0.12230570809022095
218.0,0.41865338524920537
219.0,0.9491926402474846
220.0,0.18808129059522605
221.0,0.5955562030207147
222.0,0.9393891470506295
223.0,0.22205499207106918
224.0,0.6737116330128077
225.0,0.857314647368492
226.0,0.47707234682612765
227.0,0.9729498586077606
228.0,0.10264188184730702
229.0,0.35921545115878684
230.0,0.8977008721495466
231.0,0.3581526635368108
232.0,0.8965293992393653
233.0,0.3617812986015855
234.0,0.90049280327657
235.0,0.34946150664233094
236.0,0.8866188318686516
237.0,0.3920509274936252
238.0,0.9295532912055523
239.0,0.25538748305646414
240.0,0.7416423945627386
241.0,0.7472749172849443
242.0,0.7365349495987233
243.0,0.7567997487114847
244.0,0.7178101673407014
245.0,0.7899790509117611
246.0,0.6470573851260256
247.0,0.8906590893715935
248.0,0.3798033559762934
249.0,0.9186557903852095
250.0,0.29143658379004855
251.0,0.8053550755334549
252.0,0.6113572835992365
253.0,0.926638266018657
254.0,0.26512118087751546
255.0,0.759844567277746
256.0,0.7116751233393397
257.0,0.8002552044211738
258.0,0.6234025676501965
259.0,0.9156100445596208
260.0,0.301346334358485
261.0,0.8210932123960377
262.0,0.5729066809174528
263.0,0.9542700019226428
264.0,0.1701911848774883
265.0,0.5507819673231911
266.0,0.9649426479996667
267.0,0.1319305028771264
268.0,0.4466468966220883
269.0,0.963898440803789
270.0,0.13571312281727274
271.0,0.4574507773385807
272.0,0.9679392982385449
273.0,0.12102797133967087
274.0,0.4148827858229912
275.0,0.9467447334179063
276.0,0.19663465833711888
277.0,0.6160809309632772
278.0,0.9224483481201257
279.0,0.27899583336525074
280.0,0.7845129174873119
281.0,0.6593043591531464
282.0,0.8760262725037408
283.0,0.4235565453090757
284.0,0.9522099531161747
285.0,0.1774740173804015
286.0,0.5693102630875235
287.0,0.9562647409798791
288.0,0.16310769594039884
289.0,0.5323639443151116
290.0,0.9709150429226366
291.0,0.11013218716176804
292.0,0.38221204519966
293.0,0.9208913910454168
294.0,0.2841167040810306
295.0,0.7932381699183346
296.0,0.639644365241489
297.0,0.8989478598995762
298.0,0.3542783598180378
299.0,0.892184293972447
300.0,0.3751467702891997
